eta,nesterov,reg_type,reg_val,accuracy,loss,val_loss
0.01,0.8,L2,1e-07,1.5475480169342968,0.004337867495400928,1.9700028167160593
0.01,0.8,L2,1e-08,1.5385055538283752,0.00431404211562289,1.9684147913662702
0.01,0.8,L2,1e-06,1.5322747159336796,0.00419219656388394,1.9702491992505262
0.01,0.8,L2,1e-05,1.5735935721238532,0.0045886068176617,2.0075875106332077
0.01,0.8,L1,1e-07,1.5592442153983244,0.004381542721557372,2.008623604708178
0.01,0.8,L1,1e-08,1.5266074566556533,0.0039690214093244134,1.9271293771020528
0.01,0.8,L1,1e-06,1.5691340521603907,0.004494145327163453,2.001109713949918
0.01,0.8,L1,1e-05,4.0189174876732014,0.02895285594680287,12.716970109048399
0.01,0.9,L2,1e-07,1.5477550269181501,0.003549670296435115,1.916658165142062
0.01,0.9,L2,1e-08,1.5634692508416048,0.00414168570035142,2.0168247709623848
0.01,0.9,L2,1e-06,1.5676753830715195,0.003949065510915687,1.9656768728822307
0.01,0.9,L2,1e-05,1.5463795374831115,0.004451381395290913,1.9659377883041567
0.01,0.9,L1,1e-07,1.5770322230923657,0.004419118406377273,2.032054039003327
0.01,0.9,L1,1e-08,1.562010932878685,0.0039947555588245405,1.9442058131864728
0.01,0.9,L1,1e-06,1.5626774091589224,0.004206790068048429,2.018126248296516
0.01,0.9,L1,1e-05,1.5874524686845775,0.004708932911227688,2.035141988312775
0.01,0.7,L2,1e-07,1.5489115696407516,0.004443846487468192,1.985450400938678
0.01,0.7,L2,1e-08,1.55227194814949,0.004238874601472986,1.9942975396262472
0.01,0.7,L2,1e-06,1.5405430400639075,0.004197916905049334,1.9346703188778787
0.01,0.7,L2,1e-05,1.5825832608717836,0.004689952092440133,1.9980556217817043
0.01,0.7,L1,1e-07,1.5691588274220336,0.004414513095272418,2.01712883573134
0.01,0.7,L1,1e-08,1.5284636858420584,0.004145347662587432,1.940864333682315
0.01,0.7,L1,1e-06,1.5743478729791265,0.00456627565016874,2.033029417202848
0.01,0.7,L1,1e-05,7.2380124622128,0.06524566829673083,29.89553222026792
0.01,0.5,L2,1e-07,1.5415321281342038,0.004376987919071024,1.9775951357302421
0.01,0.5,L2,1e-08,1.5277986098570076,0.004136274396520354,1.9407010052964893
0.01,0.5,L2,1e-06,1.5323845531099323,0.004247121905902235,1.952646125247954
0.01,0.5,L2,1e-05,1.6391193333044871,0.004978050472290364,2.076489244772027
0.01,0.5,L1,1e-07,1.528173526271421,0.004240216266976829,1.9290124066106291
0.01,0.5,L1,1e-08,1.5397581232927269,0.004315549292647027,1.9665241891195642
0.01,0.5,L1,1e-06,1.5655021686667643,0.004605013602780114,1.996762178755608
0.01,0.5,L1,1e-05,7.239805498380183,0.06524777178244885,29.895692131404918
0.01,0.6,L2,1e-07,1.5512795573818134,0.004329389704769157,1.999385438406125
0.01,0.6,L2,1e-08,1.5184963722419,0.00409841455554211,1.9322242151310876
0.01,0.6,L2,1e-06,1.531823243990746,0.004379436095626912,1.9368377247118265
0.01,0.6,L2,1e-05,1.5956498770112006,0.004774022413811381,2.0092866833926277
0.01,0.6,L1,1e-07,1.5468536532983286,0.004176537734522929,1.964914280677978
0.01,0.6,L1,1e-08,1.5467124884576142,0.00438530668111839,1.9698564137882235
0.01,0.6,L1,1e-06,1.5737487781536081,0.004605197903703317,2.0060772614678064
0.01,0.6,L1,1e-05,7.238043631936932,0.06524558950708419,29.895544622487492
0.001,0.8,L2,1e-07,1.5564422909949778,0.004385128233511983,1.97432495475252
0.001,0.8,L2,1e-08,1.559874239534935,0.0044112873281313345,1.9889615243875767
0.001,0.8,L2,1e-06,1.578383705748255,0.004626835103112801,1.9929811115445675
0.001,0.8,L2,1e-05,1.9017778097998759,0.006416839090012279,2.6218871385679643
0.001,0.8,L1,1e-07,1.5703617704868469,0.004537948896971437,1.9921590753872682
0.001,0.8,L1,1e-08,1.563311965406278,0.004398636207914573,1.9930701284253616
0.001,0.8,L1,1e-06,5.430559350451088,0.04536917246733921,20.72040274677733
0.001,0.8,L1,1e-05,7.241163024838547,0.0652466646318408,29.895911015910993
0.001,0.9,L2,1e-07,1.5679095927244049,0.004431423698865246,1.9813701249529359
0.001,0.9,L2,1e-08,1.5839229743933207,0.004468187889962345,2.0193215042870993
0.001,0.9,L2,1e-06,1.5508417929597849,0.004407871966561855,1.9474374030242023
0.001,0.9,L2,1e-05,1.73050929989767,0.005395315202265495,2.237352804050173
0.001,0.9,L1,1e-07,1.5674100604897196,0.00433738915985556,1.9956994414484333
0.001,0.9,L1,1e-08,1.5639495793362332,0.004396997224524119,1.980494936355452
0.001,0.9,L1,1e-06,1.6489932013941226,0.004860504919166561,2.117570259267921
0.001,0.9,L1,1e-05,7.240078464622212,0.0652451383478903,29.89597303704473
0.001,0.7,L2,1e-07,1.5755455047411615,0.004533867629320183,2.003164714430486
0.001,0.7,L2,1e-08,1.570541443505336,0.004533455572289926,2.0023353525660865
0.001,0.7,L2,1e-06,1.583457025684101,0.004688973760143348,1.9895933211288022
0.001,0.7,L2,1e-05,2.0356144019744113,0.007282440893342079,2.9562569672167562
0.001,0.7,L1,1e-07,1.57883633815499,0.004581869237991394,2.0215293611794753
0.001,0.7,L1,1e-08,1.5796528170064914,0.004600857320288151,2.010147259181428
0.001,0.7,L1,1e-06,7.244613881396088,0.06524295480782505,29.893192940778103
0.001,0.7,L1,1e-05,7.240980465702909,0.06524644908831233,29.895775266499456
0.001,0.5,L2,1e-07,1.6095361382995106,0.0047001152642353,2.0416621885436137
0.001,0.5,L2,1e-08,1.6145161609934295,0.004731937970659819,2.060763540081693
0.001,0.5,L2,1e-06,1.671846185811179,0.005063990707533008,2.1213102689849426
0.001,0.5,L2,1e-05,7.2436788798979554,0.06523684457797285,29.890249498216864
0.001,0.5,L1,1e-07,1.6400521426707069,0.00485108912928878,2.09319913889508
0.001,0.5,L1,1e-08,1.5977019788131501,0.004638782915545596,2.0315018189757446
0.001,0.5,L1,1e-06,7.239847734045461,0.06524494010793556,29.895679254833254
0.001,0.5,L1,1e-05,7.240356796079863,0.06524552364970969,29.89582544934525
0.001,0.6,L2,1e-07,1.5768908078626254,0.004608816424385307,1.9966015997038784
0.001,0.6,L2,1e-08,1.586961164782178,0.004596504869371389,2.0187413809663473
0.001,0.6,L2,1e-06,1.6439095830930703,0.004930513651581821,2.0791115387709618
0.001,0.6,L2,1e-05,3.88525378802138,0.027680230451621286,11.965434360936046
0.001,0.6,L1,1e-07,1.596816676766707,0.004705256979556218,2.029909365932525
0.001,0.6,L1,1e-08,1.6010948226089183,0.004664109395702815,2.036763362863144
0.001,0.6,L1,1e-06,7.240886023026647,0.06524618486512261,29.89624463398452
0.001,0.6,L1,1e-05,7.240396771109691,0.0652455548005343,29.895959338970144
0.1,0.8,L2,1e-07,1.5894978817272536,0.004336062118535415,2.0243956522893214
0.1,0.8,L2,1e-08,1.5602905217743228,0.00408551869984227,1.9528560838881053
0.1,0.8,L2,1e-06,1.6073926559587755,0.003984768241365542,2.0666769417500745
0.1,0.8,L2,1e-05,1.569689091304425,0.0040891186954286,1.9686195941209217
0.1,0.8,L1,1e-07,1.6137603817254738,0.004033056524282435,2.023933658191201
0.1,0.8,L1,1e-08,1.6016171992461048,0.0041731302502897505,2.0733113073077862
0.1,0.8,L1,1e-06,1.6114564279757617,0.004301828986402623,2.061456503197687
0.1,0.8,L1,1e-05,1.6123388632550169,0.004553988381971943,2.0813939195516236
0.1,0.9,L2,1e-07,1.6135477726324476,0.004141517742678277,2.1303173367451262
0.1,0.9,L2,1e-08,1.6116496342330138,0.003965282151717379,2.025828527357413
0.1,0.9,L2,1e-06,1.6374890700357596,0.004510039337071433,2.1387188537383826
0.1,0.9,L2,1e-05,1.6156090448593223,0.004277053866703301,2.0735976342845563
0.1,0.9,L1,1e-07,1.650562513124882,0.004314527768929272,2.0984195357756836
0.1,0.9,L1,1e-08,1.6586978884288763,0.0044028140954510304,2.1469917435666734
0.1,0.9,L1,1e-06,1.6636105166013513,0.004435818631439783,2.177767251153217
0.1,0.9,L1,1e-05,1.6552256022878502,0.004549090576841834,2.1723318878370925
0.1,0.7,L2,1e-07,1.5697206884093553,0.0045267217833506665,2.042181547252035
0.1,0.7,L2,1e-08,1.5446364557448051,0.003600628596052304,1.9272154670485246
0.1,0.7,L2,1e-06,1.5924597054613443,0.003841715831930282,2.023775575743782
0.1,0.7,L2,1e-05,1.5640091658246318,0.004091733017256746,1.973456622857194
0.1,0.7,L1,1e-07,1.5838504003673959,0.0043248649949971674,1.988379083893563
0.1,0.7,L1,1e-08,1.5886033180671875,0.0037981873234374085,2.0054000188965317
0.1,0.7,L1,1e-06,1.5810903840276829,0.003988168145531796,2.039343481298356
0.1,0.7,L1,1e-05,1.6081335950901374,0.004578463607978814,2.043277850364775
0.1,0.5,L2,1e-07,1.5576787880472411,0.0041273753966947395,1.9981748693108266
0.1,0.5,L2,1e-08,1.5399905009112231,0.0038647315050531522,1.937732233376866
0.1,0.5,L2,1e-06,1.5567583874165798,0.004129221387803735,1.9602396748819946
0.1,0.5,L2,1e-05,1.5311165371333633,0.003976239716072408,1.9319662179368615
0.1,0.5,L1,1e-07,1.578335865261634,0.00411645046526676,2.0365979983016134
0.1,0.5,L1,1e-08,1.5579937069985679,0.0043491131517029566,2.00856767828591
0.1,0.5,L1,1e-06,1.5686106598312477,0.0042974065588685,2.0267517370039063
0.1,0.5,L1,1e-05,1.6039121919870898,0.004669691801721704,2.080457390516881
0.1,0.6,L2,1e-07,1.584558261513374,0.004361918185805066,2.0243894545082246
0.1,0.6,L2,1e-08,1.5843383350594322,0.004142190460611591,2.044012667460382
0.1,0.6,L2,1e-06,1.5658993164322845,0.00411682357371137,2.0215124791467223
0.1,0.6,L2,1e-05,1.558920981312258,0.0042298203393566144,1.9540495164807774
0.1,0.6,L1,1e-07,1.600927314226232,0.004231911714489966,2.0156193615701383
0.1,0.6,L1,1e-08,1.570318081124426,0.004096176751014487,2.0101293814720647
0.1,0.6,L1,1e-06,1.5664162673334425,0.004160689858149087,1.9993350625194581
0.1,0.6,L1,1e-05,1.5724979180567782,0.004708702546351884,2.020108798333558
